,variable,value
22,"UNIVERSITATEA DE MEDICINA, FARMACIE, STIINTE SI TEHNOLOGIE GEORGE EMIL PALADE DIN TARGU MURES","University of Medicine, Pharmacy, Science and Technology George Emil Palade in Targu Mures"
23,UNIVERSITETSKA MNOGOPROFILNA BOLNITsA ZA AKTIVNO LEChENIE SVETI GEORGI - UNIVERSITY MULTIPROFILE HOSPITAL FOR ACTIVE TRAITMENT SAINT GEORGE,University Multiprofile Hospital for Active Treatment St. Georgi - Universities Multi-profile Hospital Force Trees Traitamenta Sent George
24,(UN)MANNED,(UNMANNED
25,@HEALTH,@HEALTH
26,0 INFINITY LIMITED,0 INFINITY LIMITED
27,01WIRING SRL,01WIRING SRL
28,1 A INGENIEROS  SLP,1 to SLP engineers
29,1-TECH,1-TECH
30,"10X GENOMICS, INC.","10X GENOMICS, INC."
31,10XL BV,10XL BV
32,13 BIS CONSULTING,13 to Consulting
33,13 JUL PLANTAZE AD PODGORICA,13 Jul Plantaze Ad Podgorica
34,17&4 ORGANISATIONSBERATUNG GMBH,17 & 4 Organizationalberatung GmbH
35,1928DIAGNOSTICS AB,1928Diagnostics
36,1D3A ANALOGICO Y DIGITAL SL,1D3A Analog Y Digital SL
37,1OT OU,1OT or
38,1TO3 CAPITAL BV,1TO3 CAPITAL BV
39,2 DEGREES LIMITED,2 DEGREES LIMITED
40,2 EYES VISION SL,2 EYES VISION SL
41,2 INVESTING INITIATIVE DEUTSCHLAND EV,2 Investing Initiative Germany eV
42,2-BBB MEDICINES BV,2-BBB MEDICINES BV
43,2-CONTROL APS,2-Control ApS
44,2.-O LCA CONSULTANTS APS,2.-O LCA Consultants APS
45,2021.AI APS,2021.ai ApS.
46,20MED THERAPEUTICS BV,20MED THERAPEUTICS BV
47,21C CONSULTANCY LIMITED,21C CONSULTANCY LIMITED
48,220 ENERGIA OU,220 energy or
49,24 IP LAW GROUP FRANCE,24 IP LAW GROUP FRANCE
50,24 Media Labs,24 Media Labs
51,2B Srl,2B srl
52,2CUREX A/S,2CUREX A/S
53,2KMM SPOLKA Z OGRANICZONA ODPOWIEDZIALNOSCIA,2kmm Spooler with limited responsibility
54,2M ENGINEERING LIMITED,2M ENGINEERING LIMITED
55,3 RS MANAGEMENT & CONSULTING APS,3 RS MANAGEMENT & CONSULTING APS
56,300KELVIN GRADES SOLUTIONS SA,300KELVIN GRADES SOLUTIONS SA
57,365FARMNET GROUP GMBH & CO KG,365FARMNET GROUP GMBH & CO KG
58,3A-PARCO TECNOLOGICO AGRO-ALIMENTARE DELLUMBRIA-SOCIETA CONSORTILE ARL,3A-AGRO-FOOD TECHNOLOGICAL PARK OF DELUMBRIA-COMPANY CONSORTILE ARL
59,3AE HEALTH LTD,3AE HEALTH LTD
60,3ANTS DEVELOPMENT & STRATEGIES SOCIEDAD LIMITADA,3ants Development & Strategies Sociedad Limitada
61,3B-FIBREGLASS,ZB-Phrigger
62,3BEE SRL,3Bee srl
63,3BRAIN AG,3brain at
64,3C COMPLIANCE SL,3C COMPLIANCE SL
65,3C PRECON GMBH,3C PRECON GMBH
66,3CIME TECHNOLOGY SRL,3CIME TECHNOLOGY SRL
67,3D FOR ALL SZAMITASTECHNIKAI FEJLESZTO KFT,3D for All Samitastechnical Development Ltd.
68,3D ICOM GMBH & CO KG,3D ICOM GMBH & CO KG
69,3D INDUSTRIES LIMITED,3D INDUSTRIES LIMITED
70,3D INTERACTIVES SOLUTIONS SL,Zd interactive solutiones sl
71,3D LASERTEC LTD,3D LASERTEC LTD
72,3D LifePrints UK Ltd.,3D LifePrints UK Ltd.
73,3D MATRIX EUROPE SAS,3D MATRIX EUROPE SAS
74,3D MEDLAB,3D MEDLAB
75,3D METAL FORMING BV,3D METAL FORMING BV
76,3D NEW TECHNOLOGIES SRL,3D NEW TECHNOLOGIES SRL
77,3D PLUS SA,3D plus its
78,3D REPO LTD,3D REPO LTD
79,3D RESEARCH SRL,3D RESEARCH SRL
80,3D SOUND LABS,3D SOUND LABS
81,3D TARGET SRL,3D TARGET SRL
82,3D-CAT BV,3D-CAT BV
83,3D-Micromac AG,3d-micromac
84,3D-OXIDES,3D-OXIDES
85,3DB ACCESS AG,3DB ACCESS AG
86,3DBATTERIES LTD,3DBATTERIES LTD
87,3DCERAM,3DCERAM
88,3DELING SP ZOO,3DELING SP ZOO
89,3DIS TECHNOLOGIES,3DIS TECHNOLOGIES
90,3DKREAFORM,Adkarmram
91,3DSIGNALS LTD,3DSIGNALS LTD
92,3DTECH OY,Your count is
93,3DU ENGINEERING SOLUTIONS SL,3DU ENGINEERING SOLUTIONS SL
94,3E,P
95,3E ENERGY OY,3E ENERGY OY
96,3EDATA INGENIERIA AMBIENTAL SL,3Data Environmental Engineering SL
97,3F BIO LIMITED,3F BIO LIMITED
98,3GSM GMBH,3GSM GmbH
99,3GSOLAR PHOTOVOLTAICS LTD,3GSOLAR PHOTOVOLTAICS LTD
100,3I EFFICIENTAMENTO ENERGETICO SRL,3i energy efficiency srl
101,3LATERAL DOO NOVI SAD,3Lateral doo Novi Sad
102,3M DEUTSCHLAND GMBH,3M Germany GmbH
103,3NT MEDICAL LTD,3NT MEDICAL LTD
104,3R-BioPhosphate Ltd.,3R-BioPhosphate Ltd.
105,3RDPLACE SRL,3rdplace srl
106,3S ANTRIEBE GMBH,3S drive GmbH
107,3S SOLAR PLUS AG,3S Solar Plus AG
108,3S UNTERNEHMENSBERATUNG GMBH,3S Businessberatung GmbH
109,3S TECH SOCIEDAD LIMITADA,3S Tech Sociedad Limitada
110,3SHAPE AS,3SHAPE AS
111,3SHAPE TRIOS AS,3SHAPE TRIOS AS
112,3SOFT AUTOMOTIVE SRL,3SOFT AUTOMOTIVE SRL
113,3V TECH EQUIPMENT & PROCESS SYSTEMS SPA,ZV Leak Ejubem & Process Systems Spa
114,4 SC AG,4 SC AG
115,450,450
116,4A ENGINEERING GMBH,4A ENGINEERING GMBH
117,4ACTIVESYSTEMS GMBH,4ActiveSystems GmbH
118,4D - NATURE IMAGING CONSULTING SL,4D - NATURE IMAGING CONSULTING SL
119,4D INGENIEURGESELLSCHAFT FUR TECHNISCHE DIENSTLEISTUNGEN MBH,4D Engineering company for technical services mbH
120,4D PHARMA CORK LIMITED,4D PHARMA CORK LIMITED
121,4DCELL,4DCELL
122,4I DIOIKISI YGEIONOMIKIS PERIFEREIAS MAKEDONIAS KAI THRAKIS,4th ADMINISTRATION OF MACEDONIA AND THRAKIS
123,4MOTION ASBL,4MOTION ASBL
124,4PM SOCIETA A RESPONSABILITALIMITATA SEMPLIFICATA,4pm Simplified Liberalimitated Company
125,4Quant Ltd.,4Quant Ltd.
126,4RealSim B.V.,Greelsim B.V.
127,4REALSIM SERVICES BV,4REALSIM SERVICES BV
128,4S-2000 TERMELO ES KERESKEDELMI KFT,4S-2000 Termelo and Trading Ltd.
129,4S-SISTEMI SICURI E SOSTENIBILI SRL,4S-Safe and Sustainable Systems Srl
130,4SILENCE BV,4Silence BV
131,4WARD ENERGY RESEARCH GMBH,4WARD ENERGY RESEARCH GMBH
132,5 YGIONOMIKI PERIFERIA THESSALIAS & STEREAS ELLADAS,5 Ygionomiki Periferia Thessalias & Sterea Ellada
133,52°North Initiative for Geospatial Open Source Software GmbH,52°North Initiative for Geospatial Open Source Software GmbH
134,52IMPACT BV,52IFFACT BV
135,5AXISWORKS ltd,5AXISWORKS ltd
136,5G COMMUNICATIONS FOR FUTURE INDUSTRY VERTICALS SL,5G COMMUNICATIONS FOR FUTURE INDUSTRY VERTICALS SL
137,5T SRL,5T SRL
138,6 MAY DRUSTVO S OGRANICENOM ODGOVORNOSCU ZA KOMUNALNE USLUGE,6 May Society with Limited Responsibility for Communal Services
139,6DEGREES LTD,6DEGREES LTD
140,6T-MIC INGENIERIES,6T-MIC Ingenieries
141,6WIND,6WIND
142,720 DEGREES OY,720 DEGREES OY
143,7BULLS.COM SPOLKA Z OGRANICZONA ODPOWIEDZIALNOSCIA,7bulls.com Spooler with limited responsibility
144,7HC SOCIETA A RESPONSABILITA LIMITATA,7HC LIMITED LIABILITY COMPANY
145,7REASONS MEDIEN GMBH,7Reasons Medien GmbH
146,7SCENES B.V.,7SCENES B.V.
147,7SCIENTISTS GMBH,7scientists GmbH
148,8 B SRL,8 B Srl
149,8.2 CONSULTING AG,8.2 CONSULTING AG
150,91 SPRINGBOARD BUSINESS HUB PRIVATELIMITED,91 SPRINGBOARD BUSINESS HUB PRIVATE LIMITED
151,A & K KOTOUZAS OE,A & K KOTZISAS OE
152,A & M EDM LIMITED,A & M EDM LIMITED
153,A & Z ACOUSTICS SRO,A & Z Acoustics sro
154,A AGRATI SPA,A AGRATI SPA
155,A D D L,A D D L
156,A E SOLUTIONS (BI) LIMITED,AE SOLUTIONS (BI) LIMITED
157,A I ALIKHANYAN NATIONAL SCIENCE LABORATORY,A I ALIKHANYAN NATIONAL SCIENCE LABORATORY
158,A I MERGENCE,A I MERGENCE
159,A L TOZER LTD,A L TOZER LTD
160,A LA FERME,AT THE FARM
161,A N S.COOP.,A N S.COOP.
162,A P BIOENERGIETECHNIK GMBH,A P BIOENERGIETECHNIK GMBH
163,A TLC SRL,To Tlc Srl
164,A UNI LIGHT LED AB,A UNI LIGHT LED AB
165,A-ETC SRO,A-ETC SRO
166,A-GAS ELECTRONIC MATERIALS LTD,A-GAS ELECTRONIC MATERIALS LTD
167,A-SYST SA,A-Syst se
168,A-TUOTTAJAT OY,A-producers Oy
169,A. + E. UNGRICHT GMBH + CO KG,A. + E. Ungrocker GMBH + CO KG
170,A. PERSIDIS & SIA OE,A. & SIA OE Persides
171,A. Plaisant Srl.,A. pleasant srl.
172,"A. Silva Matos - Energia, SA","A. Silva Matos - Energy, SA"
173,A. SPEISER-ENVIRONMENTAL CONSULTANTS CC,A. SPEISER-ENVIRONMENTAL CONSULTANTS CC
174,A.2.I.A. ANALYSE D IMAGE ET INTELLIGENCE ARTIFICIELLE - ARTIFICIAL INTELLIGENCE AND IMAGE ANALYSIS SA,A.2.i.a. Image Analysis and Artificial Intelligence - Artificial Intelligence and Image Analysis SA
175,A.A,A.A
176,A.ABETE SRL,A.ABETE SRL
177,A.B.C. INDUSTRIE,A.B.C. INDUSTRIE
178,A.D.K. ARONIS - DRETTAS - KARLAFTIS SYMVOULOI MICHANIKOI ANONYMOS ETAIREIA,A.D.K. Aronis - Drettas - Karlaftis Symvouloi Michanikoi Anonymos Etaireia
179,A.D.R. S.P.A.,A.D.R. S.P.A.
180,A.D.S. INTERNATIONAL SRL,A.D.S. INTERNATIONAL SRL
181,A.D.V.I.D. ASSOCIACAO PARA O DESENVOLVIMENTO DA VITICULTURA DURIENSE,A.d.v.i.d. Association for the development of viticulture Duriense
182,A.HOGENDOORN MANAGEMENT & ADVIES BV,A.Hogendoorn Management & Advies BV
183,A.I.A. AGRICOLA ITALIANA ALIMENTARE S.P.A.,A.I.A. Italian Italian Farm S.P.a.
184,A.I.C.CO.N.,A.i.c.co.n.
185,A.I.O.,A.I.O.
186,A.I.SM. ASSOCIAZIONE ITALIANA SCLEROSI MULTIPLA ONLUS,A.I.SM. Italian Multiple Sclerosis Association onlus
187,A.L.E. HEAVYLIFT IBERICA SA,ALE. Heavylift Iberica SA
188,A.L.P.A. - AZIENDA LAVORAZIONE PRODOTTI AUSILIARI S.P.A.,A.l.p.a. - Company manufacturing auxiliary products S.P.a.
189,A.M. Prokhorov General Physics Institute of Russian Academy of Sciences,A.M. Prokhorov General Physics Institute of Russian Academy of Sciences
190,A.M.T.R SCIENTIFIC LTD,A.M.T.R SCIENTIFIC LTD
191,A.N. NESMEYANOV INSTITUTE OF ORGANOELEMENT COMPOUNDS OF RUSSIAN ACADEMY OF SCIENCES,A.N. NESMEYANOV INSTITUTE OF ORGANOELEMENT COMPOUNDS OF RUSSIAN ACADEMY OF SCIENCES
192,A.N.O. SISTEMAS DE INFORMATICA E SERVICOS LDA,ANUS. Systems of Informatica and LDA SERVICES
193,A.N.T. INTERNATIONAL BV,A.N.T. INTERNATIONAL BV
194,A.P. Moller - Mærsk A/S,A.P. Moller - Mærsk A/S
195,A.P.A. SAN SEBASTIAN S. COOP. AND.,A.P.A. SAN SEBASTIAN S. COOP. AND.
196,A.P.E. RESEARCH SRL,BEE. RESEARCH SRL
197,A.R.T.E. LA SPEZIA,ART. SPICE
198,A.S.A. - AZIENDA SERVIZI AMBIENTALISPA,A.S.A. - Company Services environment
199,A.S.T.R.I.D. SA,A.S.T.R.R.D. OX
200,A.SPIRE,A.SPIRE
201,A.T. KEARNEY LIMITED,A.T. KEARNEY LIMITED
202,A.T.I. TRASPORTI INTERURBANI SPA,A.T.I. Interurban transport spa
203,A.U.G SIGNALS HELLAS TECHNOLOGY DEVELOPMENTS AND APPLICATIONS HELLAS SINGLE MEMBER PRIVATE COMPANY,A.U.G SIGNALS HELLAS TECHNOLOGY DEVELOPMENTS AND APPLICATIONS HELLAS SINGLE MEMBER PRIVATE COMPANY
204,A&A BIOTECHNOLOGY SC,A&A BIOTECHNOLOGY SC
205,A&C Ecotech,A&C Ecotech
206,A&R HOUSE (BCL) LTD,A&R HOUSE (BCL) LTD
207,A&T 2000 SPA,A&T 2000 SPA
208,A1 HRVATSKA DRUSTVO S ORGANICENOM ODGOVORNOSCU ZA USLUGE JAVNIH TELEKOMUNIKACIJA,A1 Croatian society with organ responsibility for public telecommunications services
209,A2A CALORE & SERVIZI SRL,A2A heat & services srl
210,A2A SPA,A2A SPA
211,A2F ASSOCIATES LIMITED,A2F ASSOCIATES LIMITED
212,A2Z ENERGEIAKES LYSEIS IKE,A2z Energeiakes Lyseis Ike
213,A3D ADDITIVE PRINTER SL,A3D ADDITIVE PRINTER SL
214,A3I SARL,Aware of Sere
215,A4F ALGAFUEL SA,A4F algafuel in
216,A7 SOFTWARE,Ah Software
217,"AA & U FOR ARCHITECTURE, ART AND URBANISM LIMITED","AA & U FOR ARCHITECTURE, ART AND URBANISM LIMITED"
218,AA SAKATTI MINING OY,Aa Sakatti mining oy
219,AAC MICROTEC AB,AAC MICROTEC AB
220,AACHEN INSTITUTE FOR NUCLEAR TRAINING GMBH (AINT),AACHEN INSTITUTE FOR NUCLEAR TRAINING GMBH (AINT)
221,AACHENER VERKEHRSVERBUND GMBH,Aachen Verkehrsverbund GmbH
222,AACM CENTRAL EUROPE TANACSADO KFT,AACM Central Europe Tanacsado Kft
223,AAF SA UNIPERSONAL,AAF That UNIPERSONAL
224,AAGE VESTERGAARD LARSEN A/S,Aage Vestergaard Larsen A / S
225,AAI SCIENTIFIC CULTURAL SERVICES LIMITED,AAI SCIENTIFIC CULTURAL SERVICES LIMITED
226,AALBORG CSP AS,Aalborg CSP AS.
227,AALBORG ENERGI HOLDING AS,Aalborg Energy Holding AS
228,AALBORG HAVN LOGISTIK A/S,Aalborg Harbor Logistics A / S
229,AALBORG KOMMUNE,AALBORG MUNICIPALITY
230,Aalborg Portland A/S,Aalborg Portland A / S
231,AALBORG RORTEKNIK APS,Aalborg Rorteknik ApS.
232,AALBORG UNIVERSITET,AALBORG UNIVERSITY
233,"AALTA LAB, RAZVOJ ZMOGLJIVE PROGRAMSKE OPREME D.O.O.","Aalta Lab, development of powerful software D.O.O.O."
234,AALTO KORKEAKOULUSAATIO SR,Aalto University SR
235,AANDERAA DATA INSTRUMENTS AS,Aanderaa Data Instruments AS
236,AAPICO MAIA SA,Aapico Maia SA
237,AARANYAK,Arunak
238,AARHUS GEOFISICA SRL,Aarhus Geofisica Srl.
239,AARHUS GEOPHYSICS APS,Aarhus Geophysics ApS.
240,AARHUS KOMMUNE,MUNICIPALITY OF AARHUS
241,AARHUS UNIVERSITET,AARHUS UNIVERSITY
242,AARHUS UNIVERSITETSHOSPITAL,Aarhus University Hospital
243,AARNET PTY LTD,AARNET PTY LTD
244,AASA GLOBAL AS,Come global
245,AASATEK OY,Aasatek Oy
246,AAVID THERMACORE EUROPE LIMITED,AAVID THERMACORE EUROPE LIMITED
247,AB ALINGSAS RADHUS,AB Alingsas Townhouse
248,AB AMBER GRID,AB AMBER GRID
249,AB ANALITICA SRL,AB Analitica srl
250,AB BCN SL,AB BCN SL
251,AB BIOTICS SA,AB BIOTICS SA
252,AB ENERGIJOS SKIRSTYMO OPERATORIUS,AB Energy distribution operator
253,AB Enzymes GmbH,From Enzymes GmbH
254,AB GARDSTANGA NYGARD,AB GARDSTANGA NYGARD
255,AB LIETUVOS GELEZINKELIAI,Lithuanian rails
256,AB LTG INFRA,AB LTG DOWN
257,AB LUDVIG SVENSSON,AB Ludvig Svensson.
258,AB MEDICA SPA,AB Medica Spa
259,AB MUOVITECH FINLAND OY,AB Plastic FINLAND OY
260,AB NANOL TECHNOLOGIES OY,AB Nanol Technologies Oy
261,AB NANOPOWDER PLANT,AB NANOPOWDER PLANT
262,AB Sciex Pte. Ltd,AB Sciex Pte. Ltd
263,AB SCIEX UK LIMITED,AB SCIEX UK LIMITED
264,AB ZERO SRLS,AB ZERO SRLS
265,AB.ACUS SRL,Ab.acus srl
266,"ABAC THERAPEUTICS, SL","ABAC THERAPEUTICS, SL"
267,ABACO SPA,ABACO SPA
268,ABACUS AGRICULTURE LIMITED,ABACUS AGRICULTURE LIMITED
269,ABACUSBIO INTERNATIONAL LIMITED,ABACUSBIO INTERNATIONAL LIMITED
270,Abahlali baseMjondolo Movement,Dinners Movement
271,ABALONYX AS,ABALONYX AS
272,"ABANCA CORPORACION BANCARIA, SA","Abanca Corporacion Banking, SA"
273,ABANZA TECNOMED SL,ABANZA TECNOMED SL
274,ABARCA COMPANHIA DE SEGUROS SA,Carrca Insurance Company SA
275,ABATO MOTOREN BV,Abatto engines bv
276,ABB AB,ABB off
277,ABB AG,Abb AG
278,ABB AS,ABB AS
279,ABB BV,ABB BV
280,ABB LIMITED,ABB Limited
281,ABB OF ASEA BROWN BOVERI,ABB OF ASEA BROWN BOVERI
282,ABB OY,ABB OY
283,ABB POWER GRIDS POLAND SPOLKA Z OGRANICZONA ODPOWIEDZIALNOSCIA,ABB Power Grids Poland with limited responsibility
284,ABB POWER GRIDS SWEDEN AB,ABB POWER GRIDS SWEDEN AB
285,ABB SA,ABB SA
286,ABB SCHWEIZ AG,Abb Switzerland AG
287,ABB SPA,ABB SPA
288,ABB SPZOO,ABB SPZOO
289,ABB Turbo Systems AG,ABB Turbo Systems AG
290,ABBELIGHT,ABBELIGHT
291,ABBERIOR INSTRUMENTS GMBH,Aberior instruments gmbh
292,ABBOTT BIOLOGICALS BV,ABBOTT BIOLOGICALS BV
293,ABBOTT DIABETES CARE,ABBOTT DIABETES CARE
294,Abbott Ireland,Abbott Ireland
295,ABBOTT LABORATORIES SA,Abbott laboratories in
296,Abbott Medical Optics,Abbott Medical Optics
297,ABBOTT RAPID DX INTERNATIONAL LIMITED,ABBOTT RAPID DX INTERNATIONAL LIMITED
298,ABBVIE DEUTSCHLAND GMBH & CO KG,Abbvie Deutschland GmbH & Co KG
299,ABBVIE INC,ABBVIE INC
300,ABBVIE IRELAND NL BV,ABBVIE IRELAND NL BV
301,AbbVie Ltd,AbbVie Ltd
302,Abcam plc,Abcam plc
303,ABCDE-SIM BV,ABCDE-SIM BV
304,ABCODIA LIMITED,ABCODIA LIMITED
305,ABDART DIAGNOSTICS LDA,Abdard Diagnostics Ice
306,ABDR Architetti Associati Srl,ABDR Architetti Associati Srl
307,ABEKING & RASMUSSEN SCHIFFS- UND YACHTWERFT SE,Abeking & Rasmussen Schiff- and Yachtwerft SE
308,ABELE INGENIEURE GMBH,Abele Ingenieure GmbH
309,ABEMEC BV,Abemec BV
310,ABENGOA ENERGIA SA,Abedi Energia SA
311,ABENGOA INNOVACION SOCIEDAD ANONIMA,Abengoa Innovation Sociedad Anonima
312,ABENGOA RESEARCH SL,ABENGOA RESEARCH SL
313,ABENGOA SOLAR NEW TECHNOLOGIES SA,Benga Solar New Technologies SA
314,ABERA BIOSCIENCE AB,Abera Bioscience AB
315,ABERDEEN CITY COUNCIL*,ABERDEEN CITY COUNCIL*
316,ABERDEEN HARBOUR BOARD,ABERDEEN HARBOUR BOARD
317,ABERDEENSHIRE COUNCIL,ABERDEENSHIRE COUNCIL
318,ABERON OOD,ABERON OOD
319,ABERTIS AUTOPISTAS ESPANA SA,Abertis highways espana sa
320,ABERYSTWYTH UNIVERSITY,ABERYSTWYTH UNIVERSITY
321,ABF-INDUSTRIELLE AUTOMATION GMBH,ABF-Industrielle Automation GmbH
322,ABG FRANKFURT HOLDING WOHNUNGSBAU -UND BETEILIGUNGSGESELLSCHAFT MIT BESCHRANKTER HAFTUNG,ABG Frankfurt Holding Housing and Participation Company with a restricted liability
323,ABI ENERGY LTD,ABI ENERGY LTD
324,ABI LAB-CENTRO DI RICERCA E INNOVAZIONE PER LA BANCA,ABI LAB-Research and Innovation Center for the Bank
325,ABICH SRL,Abich srl
326,ABIDJAN LAGOS CORRIDOR ORGANISATION FOR THE FIGHT AGAINST STIS HIV AIDS,ABIDJAN LAGOS CORRIDOR ORGANISATION FOR THE FIGHT AGAINST STIS HIV AIDS
327,ABIEL SOCIETA A RESPONSABILITA LIMITATA,ABIEL LIMITED LIABILITY COMPANY
328,ABILITY PHARMACEUTICALS SL,ABILITY PHARMACEUTICALS SL
329,ABINSULA SRL,Srl
330,ABIOMICS EUROPE KFT,Abiomics Europe Kft
331,ABIOPEP SL,Abiopep Sl
332,ABIRAIL CZ SRO,Abiail cz sro
333,ABIS - THE ACADEMY OF BUSINESS IN SOCIETY,ABIS - THE ACADEMY OF BUSINESS IN SOCIETY
334,ABIS SPOLKA Z OGRANICZONA ODPOWIEDZIALNOSCIA SPK,ABIS Spoola with limited Responsibility SPK
335,ABITAT SISTEMI INFORMATIVI TERRITORIALI SRL,Hives Territorial Information Systems Srl
336,ABITCOOP-COOPERATIVA DI ABITAZIONEDELLA PROVINCIA DI MODENA - SOCIETACOOPERATIVA,Abitcoop-Cooperative of Habitual Province of Modena - SocietaCooperativa
337,ABITEP GMBH,Abitep GmbH
338,ABIX GMBH,Abix GmbH
339,ABLE HUMAN MOTION S.L.,ABLE HUMAN MOTION S.L.
340,ABLIO S.R.L.,ABLIO S.R.L.
341,ABN AMRO BANK NV,ABN AMRO BANK NV
342,ABN PIPE SYSTEMS SL,ABN PIPE SYSTEMS SL
343,ABO AKADEMI,Abu Academy
344,ABO DATA SRL,ABO DATA SRL
345,ABORA ENERGY SOCIEDAD LIMITADA,Abora Energy Sociedad Limitada
346,ABOUTGOODS COOMPANY,About Good Company.
347,ABOVE SURVEYING LTD,ABOVE SURVEYING LTD
348,ABRAIA SOFTWARE SL,Abraia Software SL
349,ABRO BIOTEC SL,ABRO BIOTEC SL
350,ABS INTERNATIONAL,ABS INTERNATIONAL
351,ABS TECHNOLOGY LIMITED,ABS TECHNOLOGY LIMITED
352,ABSETZ SIRKKU PILVIKKI,AbsEtz chip cloud
353,ABSINT ANGEWANDTE INFORMATIK GMBH,Absint Applied Informatik GmbH
354,ABSOLICON SOLAR COLLECTOR AB,ABSOLICON SOLAR COLLECTOR AB
355,ABSOLUT SYSTEM SAS,ABSOLYT YOU
356,ABSOLUTE ZERO IVS,ABSOLUTE ZERO IVS
357,ABT BELGIE NV,ABT BELGIE NV
358,ABT BV,Abbot bv
359,ABU INTERNATIONAL PROJECT MANAGEMENT LIMITED,ABU INTERNATIONAL PROJECT MANAGEMENT LIMITED
360,ABUD MERNOKIRODA KFT,Abud Merokiroda Kft
361,ABUNDANCE INVESTMENT LTD,ABUNDANCE INVESTMENT LTD
362,ABUNDNZ BV,Abundnz BV
363,ABWASSERVERBAND ALTENRHEIN,Wastewater association Altenrhein
364,ABWASSERVERBAND BRAUNSCHWEIG,Wastewater Association Braunschweig
