,count,projectID,projectAcronym
117,4,634579.0,CARBALIVE
118,52,634588.0,NOMORFILM
119,14,634650.0,VIROGENESIS
120,48,634674.0,TASCMAR
121,6,634699.0,FRESH-DEMO
122,22,634753.0,EU-TOPIA
123,34,634757.0,ICare
124,188,634789.0,MDS-RIGHT
125,4,634809.0,PRECIOUS
126,76,634821.0,PROPAG-AGEING
127,4,634869.0,SCOPE
128,28,634880.0,EDC-MixRisk
129,6,634886.0,GLORIA
130,60,634890.0,BeyondSeq
131,30,634928.0,GLAM
132,98,634935.0,BRIDGES
133,50,634942.0,MycoSynVac
134,16,635056.0,SILNE-R
135,28,635122.0,PROCROP
136,26,635183.0,ADVOCATE
137,14,635188.0,SUCCESS
138,34,635201.0,LANDMARK
139,2,635266.0,TRACE
140,16,635290.0,PanCanRisk
141,186,635316.0,ATHLOS
142,14,635340.0,MARISURF
143,98,635342.0,MoTriColor
144,24,635356.0,COOPERATION
145,28,635359.0,BRIDGES
146,72,635405.0,COSMOS
147,66,635408.0,Paragone
148,62,635491.0,DexROV
149,56,635536.0,EmPowerPutida
150,12,635537.0,lightMaterInt
151,38,635557.0,nextBioPharmDSP
152,20,635568.0,LAkHsMI
153,80,635577.0,SUFISA
154,42,635595.0,CARBAZYMES
155,8,635617.0,GAMES
156,30,635632.0,FieldFOOD
157,18,635643.0,HIPSTER
158,338,635646.0,POnTE
159,16,635690.0,OLEUM
160,46,635727.0,PROTEIN2FOOD
161,64,635734.0,ROBOX
162,72,635750.0,iSQAPER
163,22,635759.0,FUTURE-FOOD
164,18,635773.0,U-TURN
165,28,635844.0,SENSKIN
166,74,635867.0,BONVOYAGE
167,16,635872.0,CIRCODE
168,106,635885.0,DORA
169,44,635895.0,InDeV
170,14,635898.0,CITYLAB
171,56,635900.0,IN2RAIL
172,36,635919.0,SURFINK
173,34,635928.0,PRISM
174,34,635962.0,TILDA
175,36,635973.0,BENEFIT
176,72,635975.0,XCYCLE
177,8,635998.0,FLOW
178,20,636012.0,ELIPTIC
179,8,636027.0,E-ferry
180,82,636032.0,ROLL2RAIL
181,74,636053.0,AEROGUST
182,16,636063.0,INSITER
183,60,636069.0,OMICON
184,8,636071.0,Smart-Rail
185,8,636078.0,IT2RAIL
186,34,636116.0,REMOTIVATE
187,76,636136.0,SENIORS
188,22,636146.0,LeanShips
189,14,636148.0,EuTravel
190,42,636160.0,OPTIMUM
191,6,636164.0,WRIST
192,30,636170.0,I2MPECT
193,112,636177.0,EUROHERIT
194,78,636201.0,WASCOSYS
195,68,636202.0,AGILE
196,8,636218.0,NIPSE
197,48,636220.0,TIMON
198,20,636237.0,NeTIRail-INFRA
199,2,636239.0,AMANAC
200,6,636249.0,EMPOWER
201,14,636281.0,MASAI
202,46,636285.0,DESTinationRAIL
203,6,636286.0,LYNCEUS2MARKET
204,32,636300.0,EBSF_2
205,44,636302.0,SatisFactory
206,104,636307.0,FLEXOP
207,6,636308.0,PASSME
208,8,636329.0,EfficienSea 2
209,2,636335.0,LuMaSense
210,16,636354.0,SYNCHRO-NET
211,46,636380.0,REWARD
212,28,636412.0,CIPTEC
213,18,636427.0,SocialCar
214,14,636458.0,CogSoCoAGE
215,34,636494.0,ComBoNDT
216,20,636496.0,INFRALERT
217,40,636501.0,EDEN ISS
218,10,636520.0,HERMES
219,166,636537.0,HIGHTS
220,28,636549.0,EXTREME
221,54,636565.0,ROADART
222,6,636573.0,CREATE
223,52,636592.0,LOWBRASYS
224,2,636626.0,NOVELOG
225,22,636692.0,DIVERSITY
226,14,636709.0,HOMESKIN
227,42,636717.0,IMPRESS
228,6,636744.0,JSPEC
229,18,636746.0,HUCO
230,40,636752.0,20SComplexity
231,2,636771.0,STYLE
232,70,636778.0,FACTS4WORKERS
233,52,636804.0,PSYMBIOSYS
234,40,636808.0,O2RIGIN
235,114,636811.0,FracRisk
236,16,636816.0,MEASURE
237,60,636820.0,RECOBA
238,54,636829.0,PRIMCHEM
239,104,636834.0,DISIRE
240,58,636835.0,ISOBIO
241,8,636853.0,BELS
242,30,636855.0,ONCOMECHAML
243,18,636862.0,ICP4Life
244,28,636868.0,FALCON
245,126,636876.0,REDMUD
246,52,636881.0,REProMag
247,12,636892.0,PREVIEW
248,10,636895.0,ACCEPT
249,42,636903.0,MAGNETO
250,4,636906.0,sCorPiuS
251,122,636909.0,C2NET
252,8,636926.0,MEMAN
253,18,636928.0,DormantMicrobes
254,22,636930.0,iCspec
255,6,636932.0,RADICLE
256,122,636942.0,CONSENS
257,44,636951.0,Manutelligence
258,40,636966.0,ProRegio
259,138,636983.0,PLATINUM
260,12,636984.0,BERTIM
261,4,637003.0,EeB-CA2
262,38,637010.0,EGSIEM
263,44,637014.0,realFlow
264,42,637016.0,MefCO2
265,152,637019.0,MathAm
266,40,637020.0,MOBILE FLIP
267,52,637024.0,HEARTOFSTROKE
268,32,637027.0,TOSSIBERG
269,12,637045.0,ADALAM
270,2,637047.0,GlioVac
271,28,637066.0,CREMA
272,10,637069.0,MetCAF
273,22,637076.0,RoboExNovo
274,154,637077.0,PRODIAS
275,16,637080.0,SYMPLEXITY
276,22,637081.0,MAShES
277,104,637095.0,FourByThree
278,52,637107.0,SYMBIO-TIC
279,6,637108.0,LaWin
280,32,637116.0,ENLIGHTMENT
281,16,637138.0,ECO-Binder
282,6,637162.0,SWIMing
283,64,637164.0,iBack
284,6,637171.0,ADaPTIVE
285,22,637186.0,BRESAER
286,44,637221.0,Built2Spec
287,16,637232.0,ProPAT
288,32,637261.0,E2VENT
289,132,637268.0,RIBuild
290,108,637277.0,FLEXILOG
291,52,637295.0,X-probe
292,108,637302.0,PROGRESS
293,20,637304.0,HBV1
294,24,637308.0,CELL HYBRIDGE
295,20,637313.0,ENTANGLED-TM-ALKANE
296,38,637324.0,HESPERIA
297,60,637334.0,GADGET
298,56,637339.0,CoqHoTT
299,176,637352.0,GQCOP
300,14,637367.0,HyMoCo
301,16,637372.0,CSUMECH
302,8,637386.0,SYMPLECTIC
303,40,637394.0,SILION
304,32,637412.0,META-STRESS
305,2,637420.0,LUPINROOTS
306,110,637422.0,EVERYSOUND
307,38,637424.0,ISIFit
308,14,637456.0,CNIDARIAMICRORNA
309,6,637458.0,MISTRANSMITO
310,14,637460.0,EyeRegen
311,32,637462.0,DecentLivingEnergy
312,16,637472.0,FlyContext
313,16,637476.0,Lensless
314,42,637483.0,TERRA
315,38,637488.0,MotMotLearn
316,118,637503.0,PRISTINE
317,30,637506.0,nuDirections
318,42,637510.0,FAnFArE
319,70,637519.0,URBANFLUXES
320,26,637530.0,REPROWORM
321,120,637533.0,BIFLOW
322,8,637537.0,ACHILLES-HEEL
323,12,637556.0,Cu4Energy
324,10,637579.0,COMPUCELL
325,8,637587.0,HAP-PHEN
326,28,637591.0,NEURAL AS
327,6,637595.0,C3PO
328,46,637601.0,GAN
329,12,637614.0,NanoPaths
330,28,637616.0,MaMMoTH-Up
331,22,637618.0,QuantGeomLangTFT
332,52,637624.0,ThermoTex
333,4,637632.0,GOTOFLY
334,20,637638.0,OptoVision
335,4,637640.0,ImmRisk
336,64,637643.0,TREECLIMBERS
337,52,637645.0,WayTO
338,42,637647.0,IDEM
339,20,637649.0,RevMito
340,32,637653.0,BLOC
341,28,637654.0,Inhomogeneities
342,2,637662.0,PEMP
343,82,637674.0,FibreRemodel
344,24,637675.0,SYBORG
345,38,637683.0,FICKLEFORMS
346,74,637686.0,gRESONANT
347,14,637691.0,ANICOLEVO
348,10,637692.0,ELEPHANTINE
349,32,637695.0,HInDI
350,42,637709.0,GREYZONE
351,28,637713.0,CoPS
352,8,637730.0,MtbTransReg
353,4,637733.0,PentaBrain
354,8,637738.0,PoLiChroM
355,46,637747.0,RiP
356,22,637748.0,NanoSOFT
357,20,637752.0,BREATHE
358,34,637756.0,STARLIGHT
359,28,637760.0,LITTLE TOOLS
360,2,637763.0,CrIC
361,74,637764.0,Highland Connections
362,32,637765.0,PHOTONET-C4
363,106,637768.0,EQUALIZE
364,10,637770.0,WAPITI
365,14,637776.0,ALKENoNE
366,42,637780.0,BIOELECPRO
367,2,637798.0,MetDNASecStr
368,20,637801.0,TWILIGHT
369,16,637815.0,QUEST
370,36,637830.0,Novel asthma therapy
371,26,637831.0,SURFLINK
372,20,637840.0,QUANTPATTERN
373,168,637842.0,IDEal reSCUE
374,24,637843.0,TEC_Pro
375,56,637844.0,HBQFTNCER
376,22,637851.0,CONC-VIA-RIEMANN
377,12,637853.0,ANISOGEL
378,6,637860.0,SLEEPCONTROL
379,10,637877.0,PredicTOOL
380,18,637878.0,lincSAFARI
381,8,637885.0,GV-FLU
382,16,637888.0,sRNA-EMB
383,32,637908.0,STIGMATICS
384,36,637912.0,RelRepDist
385,32,637915.0,Corruption Roots
386,24,637920.0,Regenerate
387,14,637928.0,TUNNEL
388,44,637935.0,CONT-ACT
389,32,637943.0,SmartCardiacPatch
390,46,637960.0,COMBIOSCOPY
391,8,637971.0,BacBio
392,58,637972.0,ResiBots
393,22,637987.0,ChromArch
394,88,637991.0,COMPUTED
395,36,637993.0,FunCatDesign
396,98,637995.0,ProbDynDispEq
397,58,638001.0,Dynamic Nano
398,84,638009.0,IDIU
399,24,638027.0,ASTROROT
400,18,638028.0,AngioGenesHD
401,18,638030.0,STEMCARDIORISK
402,18,638035.0,PNANOMED
403,12,638049.0,SYNTECH
404,72,638059.0,HEROIC
405,18,638106.0,NEUROMITO
406,12,638121.0,FOC
407,10,638133.0,ThforPV
408,50,638134.0,TRANSFR-Q
409,12,638142.0,Profile Infection
410,2,638145.0,ApoptoMDS
411,8,638154.0,EUTHORITY
412,26,638173.0,iTPX
413,38,638176.0,Big Splash
414,12,638178.0,NOVA
415,18,638193.0,CRCStemCellDynamics
416,4,638197.0,URDNA
417,18,638218.0,MolStruKT
418,4,638221.0,SocialMedia
419,30,638240.0,SEXSEA
420,60,638241.0,DTHPS
421,20,638258.0,NanoChemBioVision
422,38,638259.0,EUBorderCare
423,22,638271.0,BIOSUSAMIN
424,20,638273.0,SCORA
425,28,638278.0,SUPERFOAM
426,114,638284.0,MODELAGE
427,24,638289.0,Human Decisions
428,32,638290.0,MetaFlex
429,4,638307.0,AEROFLEX
430,16,638314.0,MoNaLISA
431,32,638333.0,ComplEvol
432,26,638337.0,XBCBCAT
433,4,638364.0,CHIME
434,6,638376.0,SegregActin
435,4,638408.0,BayesianMarkets
436,10,638425.0,ENHANCEDQMMR
437,10,638426.0,NoisyAgeing
438,30,638428.0,ROBOTAR
439,86,638435.0,GalNUC
440,8,638467.0,C4T
441,48,638514.0,PersoNews
442,92,638528.0,NewAve
443,22,638536.0,SM-IMPORT
444,56,638546.0,Spray-Imaging
445,30,638553.0,TB-ACCELERATE
446,4,638573.0,SILENCE
447,30,638578.0,SoSGlobal
448,38,638589.0,MidFrontalTheta2.0
449,40,638596.0,new-ppd-environments
450,60,638605.0,SenseX
451,6,638644.0,NeurogenesisCode
452,16,638647.0,aidsocpro
453,94,638661.0,CRYOMAT
454,26,638665.0,EURO-LAB
455,6,638666.0,LTI
456,8,638694.0,MenWomenCare
457,92,638703.0,COALA
458,54,638707.0,COEVOLUTION
459,46,638712.0,aLzINK
460,4,638718.0,CUSTOM-SENSE
461,36,638719.0,GRAIL
462,12,638730.0,CIRCUITASSEMBLY
463,30,638743.0,FirstDawn
464,54,638760.0,STATOPINS
465,26,638765.0,Q-CEOM
466,10,638768.0,VOICES
467,26,638804.0,AArteMIS
468,66,638809.0,AIDA
469,6,638810.0,CVI_ADAPT
470,22,638822.0,FIDUCEO
471,72,638857.0,CHROMTISOL
472,22,638873.0,BeeDanceGap
473,10,638884.0,PhosFunc
474,2,638891.0,NutrientSensingVivo
475,4,638897.0,DNAendProtection
476,12,638898.0,FAtoUnFRAGILITY
477,24,638902.0,LimitMDR
478,16,638917.0,ChromoCellDev
479,62,638946.0,CORPNET
480,2,638957.0,INFO TECHNOLOGY
481,40,638965.0,INTESTINANOS
482,8,638988.0,G4DSB
483,70,638992.0,OPT4SMART
484,44,639003.0,DEEP TIME
485,38,639005.0,Crosstag
486,28,639008.0,MindBendingGrammars
487,28,639020.0,Weakinteract
488,14,639021.0,DEMSEC
489,36,639022.0,NewNGR
490,6,639039.0,NSECPROBE
491,16,639046.0,RGGC
492,12,639050.0,Troy Stem Cells
493,46,639052.0,Nano Harvest
494,48,639068.0,BSMFLEET
495,12,639070.0,SUSTAINABLEOCEAN
496,2,639072.0,INQMINDS
497,18,639084.0,LEGALARCHITECTURES
498,82,639088.0,SeSaMe
499,4,639096.0,HybridMiX
500,94,639107.0,INsPIRE
501,40,639109.0,FLATLIGHT
502,32,639119.0,ULEED
503,26,639123.0,SCENT
504,40,639125.0,DE-ORPHAN
505,18,639139.0,GEM
506,28,639170.0,CARBONFIX
507,42,639172.0,TopFront
508,18,639192.0,ALH
509,34,639209.0,ComBact
510,52,639211.0,TIME-BRIDGE
511,70,639217.0,CSINEUTRONSTAR
512,22,639220.0,CurvedSusy
513,26,639221.0,ExtreFlow
514,40,639226.0,MAMI
515,12,639227.0,FLUID-INTERFACE
516,44,639233.0,COFLeaf
517,36,639234.0,PROCELLDEATH
518,6,639242.0,PlusOne
519,34,639248.0,LITHIUM
520,42,639249.0,BLOODCELLSCROSSTALK
521,2,639253.0,PRCTOERC
522,68,639270.0,SYMCAR
523,2,639272.0,SurfaceInhibition
524,16,639275.0,VITAL
525,36,639276.0,PhilPharm
526,6,639284.0,INTERACT
527,24,639286.0,HIDDEN FOODS
528,36,639291.0,VARIKIN
529,6,639300.0,MechanoFate
530,24,639305.0,SPECTRUM
531,6,639313.0,VisuLive
532,2,639314.0,FLDcure
533,4,639343.0,Oscillations
534,30,639363.0,AYURYOG
535,120,639365.0,BUCOPHSYS
536,70,639377.0,DrugsInPregnancy
537,94,639379.0,DATACTIVE
538,4,639382.0,aCROBAT
539,10,639402.0,MIRAGE 20-15
540,10,639403.0,WORKANDHOME
541,6,639416.0,MultiScaleNeurovasc
542,76,639445.0,NewEat
543,28,639459.0,PROMISE
544,18,639466.0,CAFES
545,20,639478.0,AuxinER
546,6,639485.0,ROBUSTNET
547,12,639489.0,HomeoBalanceExcInh
548,32,639495.0,INTHERM
549,20,639508.0,BIVAQUM
550,76,639526.0,NANOGEN
551,2,639534.0,PROTEOMICAN
552,18,639548.0,STARS
553,46,639554.0,aSCEND
554,28,639560.0,MECTRL
555,54,639564.0,HERITAGE
556,28,639573.0,InfoInt
557,12,639583.0,ToxicExpertise
558,38,639594.0,CatHet
559,44,639595.0,Hi-EST
560,12,639633.0,MASSIVE
561,52,639638.0,MESOPROBIO
562,54,639643.0,FoQAL
563,14,639652.0,iLABOUR
564,28,639668.0,WeChangEd
565,42,639706.0,CONSTRAINTS
566,26,639707.0,REMEMBER
567,82,639720.0,NAPOLI
568,30,639729.0,preQFT
569,22,639739.0,Strained2DMaterials
570,12,639744.0,Disasters
571,66,639749.0,LAA-THz-CC
572,8,639750.0,VIBCONTROL
573,36,639760.0,PEDAL
574,4,639766.0,TransCTNeurodev
575,56,639776.0,COSMIC
576,12,639784.0,EpiTALL
577,34,639792.0,SENSQUID
578,6,639795.0,HemNichMDS
579,14,639802.0,IMAGINE
580,30,639813.0,CLC
581,40,639828.0,CALI
582,4,639840.0,PreLog
583,8,639846.0,NOVELNOBI
584,2,639859.0,SMIRP
585,16,639888.0,REGENETHER
586,88,639889.0,ImagePlanetFormDiscs
587,18,639904.0,RELOS
588,24,639905.0,ProPlantStress
589,18,639907.0,complexNMR
590,28,639938.0,MULTICONNECT
591,150,639945.0,ACCORD
592,14,639961.0,HIV1ABTHERAPY
593,12,640003.0,NEURAMORPH
594,48,640004.0,PHYSFISH
595,34,640012.0,ABLASE
596,30,640073.0,R2RAM
597,6,640074.0,MigrantParents
598,48,640079.0,QPE
599,8,640087.0,SOS
600,8,640093.0,LOCOMOUSE
601,44,640110.0,BASTION
602,20,640116.0,ENVIROIMMUNE
603,10,640120.0,LAB-TECH
604,24,640130.0,LOFAR
605,6,640143.0,PEGASUS
606,44,640156.0,HOMOVIS
607,10,640159.0,MST
608,28,640161.0,SPICES
609,40,640171.0,EUSTACE
610,52,640174.0,PHySIS
611,176,640176.0,BACI
612,16,640190.0,EURO-CARES
613,2,640199.0,EPIC
614,6,640210.0,SCREEN
615,22,640216.0,FLARECAST
616,4,640231.0,TIME SCALE
617,2,640241.0,REACT
618,14,640243.0,SEPHY
619,4,640253.0,IODISPlay
620,2,640254.0,MetAGEn
621,10,640275.0,Medulloblastoma
622,22,640276.0,GAIA-CLIM
623,22,640277.0,IRENA
624,14,640283.0,VIDOCK
625,22,640347.0,DEMOCRITOS
626,112,640351.0,NEOShield-2
627,12,640354.0,TCLS ARM FOR SPACE
628,20,640376.0,Rheform
629,206,640378.0,RYSQ
630,24,640384.0,RuMicroPlas
631,2,640387.0,SAT406M
632,90,640396.0,OPTIMALZ
633,32,640422.0,GREENT
634,10,640448.0,OscillatoryVision
635,40,640458.0,A-LIFE
636,24,640462.0,ButaNexT
637,4,640488.0,Intimacy
638,10,640497.0,HandsandBible
639,10,640511.0,PERSYST
640,24,640525.0,REGMAMKID
641,34,640550.0,DASMT
642,24,640553.0,ACTOMYO
643,12,640554.0,SKILLS4ROBOTS
644,84,640557.0,BIRTH
645,6,640567.0,NDI
646,42,640573.0,DESCRAMBLE
647,2,640579.0,VASCFLAP
648,8,640580.0,COSIP
649,12,640594.0,CRASK
650,50,640597.0,Future Sky Safety
651,26,640598.0,NEW_FUN
652,18,640626.0,ACTINIT
653,4,640627.0,DOS
654,40,640638.0,Objectivity
655,18,640643.0,SEGWAY
656,22,640645.0,BetaDropNMR
657,22,640658.0,DEMETRA
658,52,640667.0,RED-Heat-to-Power
659,16,640715.0,M4ShaleGas
660,38,640720.0,Photofuel
661,16,640741.0,LIFES 50plus
662,2,640749.0,DHaptics
663,14,640769.0,STEPWISE
664,34,640771.0,MASLOWATEN
665,202,640772.0,DOLFINS
666,2,640798.0,LatinOCR
667,128,640800.0,AQuS
668,18,640868.0,SWInG
669,76,640873.0,CPVMatch
670,6,640887.0,LTCeramics
671,100,640891.0,DREAM
672,136,640896.0,SHEER
673,10,640905.0,CAPTure
674,10,640923.0,CannaPreg
675,10,640924.0,MONITOR
676,20,640947.0,GreenDiamond
677,48,640954.0,GRACeFUL
678,2,640955.0,A CACTUS
679,72,640959.0,flora robotica
680,32,640967.0,subCULTron
681,102,640979.0,ShaleXenvironmenT
682,6,640988.0,FLPower
683,2,640997.0,SolarPredict
684,10,641000.0,BrainFrame
685,88,641004.0,Sharc25
686,74,641023.0,Nano-Tandem
687,152,641039.0,QUCHIP
688,34,641073.0,Bio-HyPP
689,6,641093.0,DENOVO-RBC
690,132,641100.0,TIMESTORM
691,6,641110.0,GermanSlavery
692,476,641122.0,QUIC
693,4,641156.0,KidsSurgicalPlan
694,4,641171.0,UNMOVED
695,32,641185.0,CEMCAP
696,156,641191.0,CIMPLEX
697,34,641202.0,ThermoDrill
698,10,641222.0,ExtraLytics
699,16,641229.0,FlexiFuel-SOFC
700,6,641232.0,Fingers4Cure
701,32,641272.0,HICONO
702,252,641277.0,QuProCS
703,212,641321.0,socSMCs
704,2,641322.0,GreenMethanol
705,34,641334.0,WETFEET
706,4,641342.0,BioStealth
707,18,641353.0,INTERDOT
708,22,641388.0,PETRA
709,6,641389.0,SENSEI
710,2,641415.0,BlueStep
711,10,641416.0,iPUBLIC
712,8,641420.0,TWIST
713,22,641451.0,GEO VISION
714,18,641456.0,BINGO
715,70,641458.0,MELGEN
716,16,641459.0,RELIEF
717,10,641460.0,LARA
718,18,641486.0,spyGLASS
719,4,641492.0,FOSTER ITS
720,10,641495.0,GHOST
721,8,641517.0,UKRAINE
722,12,641518.0,mapKITE
723,2,641526.0,ELAASTIC
724,26,641538.0,ConnectinGEO
725,48,641540.0,SKPLUS
726,2,641544.0,G MOTIT
727,38,641549.0,IMMUTRAIN
728,2,641606.0,MISTRALE
729,4,641613.0,GMCA
730,2,641625.0,POSITION
731,12,641627.0,CaBilAvi
732,18,641639.0,BIOPOL
733,54,641640.0,EJD-FunMat
734,36,641652.0,ChildBrain
735,92,641661.0,POWERSTEP
736,14,641665.0,EPIMAC
737,4,641715.0,WaterWorks2014
738,148,641725.0,PHEBE
739,90,641727.0,PRIMAVERA
740,22,641739.0,BINGO
741,28,641747.0,CloseWEEE
742,348,641762.0,ECOPOTENTIAL
743,14,641768.0,REGROUND
744,66,641789.0,MEDEA
745,340,641794.0,DREAM-GO
746,42,641805.0,NextGenVis
747,142,641811.0,IMPREX
748,416,641816.0,CRESCENDO
749,10,641821.0,WATERINNEU
750,44,641822.0,MICACT
751,36,641833.0,ONCORNET
752,28,641839.0,DiStruc
753,22,641858.0,PREDICTABLE
754,76,641861.0,Photo4Future
755,68,641864.0,INREP
756,74,641887.0,DEFNET
757,88,641899.0,PROMIS
758,56,641918.0,AfricanBioServices
759,2,641927.0,INFINITY
760,22,641931.0,CENTAUR
761,12,641933.0,REFRESH
762,34,641939.0,HypoTRAIN
763,54,641942.0,RESYNTEX
764,62,641943.0,WAVES
765,24,641972.0,CABRISS
766,6,641974.0,green.eu
767,116,641984.0,List_MAPS
768,116,641985.0,5G Wireless
769,2,641988.0,SMART GROUND
770,62,641989.0,Real-Time-Mining
771,18,641998.0,REMEB
772,26,642004.0,MAGICBULLET
773,94,642007.0,ESMERALDA
774,10,642014.0,IPCOS
775,36,642018.0,GREEN-WIN
776,48,642023.0,ClickGene
777,34,642028.0,NABBA
778,46,642029.0,CREEP
779,32,642047.0,KINDRA
780,48,642067.0,RESLAG
781,10,642068.0,CLOSPORE
782,80,642069.0,HPC-LEAP
783,36,642080.0,SAF21
784,52,642083.0,EURO-SEQUENCES
785,30,642085.0,HISER
786,32,642088.0,SWOS
787,52,642095.0,OPATHY
788,92,642108.0,AWESOME
789,54,642116.0,SDIN
790,156,642121.0,FULLCOMP
791,26,642130.0,INTRAW
792,62,642139.0,MINATURA 2020
793,96,642147.0,CD-LINKS
794,130,642153.0,MarineUAS
795,12,642154.0,FISSAC
796,32,642157.0,TOLLerant
797,8,642190.0,iMETland
798,18,642192.0,ResMoSys
799,70,642196.0,iSwitch
800,24,642197.0,AQUAINVAD-ED
801,62,642201.0,OptimOre
802,24,642224.0,FREEWAT
803,16,642228.0,SUBSOL
804,72,642241.0,BIG4
805,46,642242.0,CARISMA
806,52,642260.0,TRANSrisk
807,108,642294.0,TCCM
808,36,642295.0,MEL-PLEX
809,58,642317.0,AQUACROSS
810,94,642328.0,ArcInTex ETN
811,136,642332.0,GEO-C
812,10,642354.0,BlueSCities
813,162,642355.0,FIWIN5G
814,4,642356.0,CYTO-WATER
815,38,642372.0,INSPIRATION
816,2,642380.0,MET-A-FOR
817,62,642384.0,BAMB
818,68,642414.0,TargetCaRe
819,4,642423.0,WIDEST
820,6,642433.0,PIANO
821,56,642434.0,ANTIVIRALS
822,2,642445.0,AdapTT
823,104,642453.0,TRUSS
824,94,642456.0,BioMOre
825,114,642458.0,MUSICARE
826,14,642477.0,VAMOS
827,12,642514.0,TRACKWAY
828,88,642536.0,CaFE
829,110,642557.0,CoACH
830,74,642563.0,COSMOS
831,24,642571.0,CHIBOW
832,10,642574.0,SPRInG
833,50,642575.0,ALFF
834,56,642609.0,EUROLEISH-NET
835,34,642612.0,VPH-CaSE
836,42,642620.0,INTEGRATE
837,24,642623.0,RADIATE
838,48,642642.0,SELECTA
839,66,642656.0,Phonsi
840,74,642661.0,Mid-TECH
841,18,642662.0,HEADS
842,46,642663.0,eCHO Systems
843,74,642667.0,SECURE
844,46,642671.0,SUSPOL
845,20,642676.0,CardioFunXion
846,298,642682.0,AWESCO
847,152,642685.0,MacSeNet
848,34,642687.0,BIOGEL
849,46,642688.0,SAWTrain
850,22,642691.0,EpiPredict
851,62,642709.0,CASPIAN
852,28,642720.0,BonePain
853,32,642738.0,MetaRNA
